Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-01-04,12.404,12.506,11.806,11.924,9386100,0.0,0.0
2021-01-05,11.907,12.017,11.739,11.756,10783400,0.0,0.0
2021-01-06,12.025,12.607,11.933,12.43,6569800,0.0,0.0
2021-01-07,12.497,12.607,12.337,12.371,8853600,0.0,0.0
2021-01-08,12.48,12.581,12.312,12.404,4023000,0.0,0.0
2021-01-11,12.244,12.312,11.966,12.11,6003400,0.0,0.0
2021-01-12,12.0,12.346,11.983,12.295,6934200,0.0,0.0
2021-01-13,12.295,12.522,12.287,12.43,6967400,0.0,0.0
2021-01-14,12.48,12.868,12.472,12.649,8988800,0.0,0.0
2021-01-15,12.455,12.489,12.093,12.379,5139300,0.0,0.0
2021-01-19,12.489,12.531,12.152,12.438,4673300,0.0,0.0
2021-01-20,12.101,12.801,12.101,12.598,7293300,0.0,0.0
2021-01-21,12.312,12.657,12.312,12.337,4721300,0.0,0.0
2021-01-22,12.219,12.219,11.983,12.152,8364900,0.0,0.0
2021-01-25,12.051,12.067,11.697,11.705,9169300,0.0,0.0
2021-01-26,11.865,11.89,11.351,11.376,9621900,0.0,0.0
2021-01-27,11.267,11.713,11.09,11.461,18309500,0.0,0.0
2021-01-28,11.596,12.455,11.469,12.008,13350100,0.0,0.0
2021-01-29,11.899,12.0,11.284,11.419,8067800,0.0,0.0
2021-02-01,11.511,11.562,11.317,11.494,6914400,0.0,0.0
2021-02-02,11.579,12.017,11.494,11.958,6547500,0.0,0.0
2021-02-03,11.941,12.042,11.857,11.958,7354000,0.0,0.0
2021-02-04,12.067,12.16,11.671,11.907,12196200,0.0,0.0
2021-02-05,11.983,12.152,11.831,11.966,3557300,0.0,0.0
2021-02-08,11.958,12.059,11.747,12.051,5610600,0.0,0.0
2021-02-09,12.042,12.067,11.621,11.688,5922600,0.0,0.0
2021-02-10,11.806,12.126,11.756,11.874,7087200,0.0,0.0
2021-02-11,11.848,12.329,11.815,12.303,10085400,0.0,0.0
2021-02-12,12.303,12.565,12.244,12.556,9175200,0.0,0.0
2021-02-16,12.598,13.205,12.598,13.154,12797500,0.0,0.0
2021-02-17,13.146,13.239,12.86,13.197,11934800,0.0,0.0
2021-02-18,12.817,13.534,12.792,13.508,7780300,0.0,0.0
2021-02-19,13.601,14.216,13.492,14.107,12099900,0.0,0.0
2021-02-22,14.183,14.688,14.022,14.065,12803100,0.0,0.0
2021-02-23,14.073,14.132,13.525,13.98,11145100,0.0,0.0
2021-02-24,14.115,14.604,14.039,14.427,9530100,0.0,0.0
2021-02-25,14.444,14.486,13.61,13.787,9062000,0.0,0.0
2021-02-26,13.829,14.157,13.61,13.98,9523600,0.0,0.0
2021-03-01,14.199,14.284,13.803,13.837,7182300,0.0,0.0
2021-03-02,13.77,13.829,13.407,13.492,6756600,0.0,0.0
2021-03-03,13.601,14.022,13.492,13.677,7864800,0.0,0.0
2021-03-04,13.584,13.643,12.893,13.348,10261800,0.0,0.0
2021-03-05,13.483,13.483,12.876,13.315,6983500,0.0,0.0
2021-03-08,13.677,13.938,13.39,13.854,6725300,0.0,0.0
2021-03-09,13.837,14.107,13.635,13.862,5872500,0.0,0.0
2021-03-10,13.947,14.115,13.711,13.938,7459400,0.0,0.0
2021-03-11,13.947,14.368,13.803,14.267,9185900,0.0,0.0
