Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-01-04,28.711,29.153,28.656,29.036,11297100,0.0,0.0
2021-01-05,28.928,29.172,28.674,28.828,9001500,0.0,0.0
2021-01-06,28.955,29.551,28.918,29.108,11872200,0.0,0.0
2021-01-07,28.693,29.289,28.647,28.756,9479300,0.0,0.0
2021-01-08,28.801,28.846,28.403,28.584,9175400,0.0,0.0
2021-01-11,28.548,28.946,28.548,28.702,8842200,0.0,0.0
2021-01-12,28.937,29.235,28.467,28.485,10568400,0.0,0.0
2021-01-13,28.539,29.027,28.412,28.909,8671800,0.0,0.0
2021-01-14,28.982,30.22,28.846,29.949,20648100,0.0,0.0
2021-01-15,29.958,30.925,29.696,30.455,14722600,0.0,0.0
2021-01-19,30.455,30.482,29.867,30.382,9645300,0.0,0.0
2021-01-20,29.768,29.976,29.397,29.885,10878500,0.0,0.0
2021-01-21,29.831,30.229,29.723,30.012,8579900,0.0,0.0
2021-01-22,30.175,30.473,29.614,30.328,9458200,0.0,0.0
2021-01-25,30.274,33.464,30.138,31.241,32565400,0.0,0.0
2021-01-26,31.187,33.591,31.105,33.5,24965000,0.0,0.0
2021-01-27,33.5,38.85,33.455,35.018,40043200,0.0,0.0
2021-01-28,34.052,35.633,31.413,31.973,28535200,0.0,0.0
2021-01-29,32.226,33.057,31.133,31.178,17188900,0.0,0.0
2021-02-01,31.187,31.575,30.075,30.455,13036700,0.0,0.0
2021-02-02,30.355,30.364,29.678,29.913,11133600,0.0,0.0
2021-02-03,30.148,30.717,29.696,30.69,10162700,0.0,0.0
2021-02-04,30.69,30.88,30.193,30.229,8426200,0.0,0.0
2021-02-05,30.129,30.509,29.904,29.958,8367600,0.0,0.0
2021-02-08,30.021,30.392,29.913,30.075,8826500,0.0,0.0
2021-02-09,30.12,30.545,30.093,30.355,10256100,0.0,0.0
2021-02-10,30.536,30.708,30.202,30.373,7172600,0.0,0.0
2021-02-11,30.428,30.582,30.292,30.346,6119900,0.18,0.0
2021-02-12,30.428,30.9,30.283,30.846,7025100,0.0,0.0
2021-02-16,30.928,31.055,30.446,30.582,8262800,0.0,0.0
