Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-01-04,146.636,147.192,143.316,146.28,7243400,0.0,0.0
2021-01-05,145.423,147.831,145.131,146.773,3911900,0.0,0.0
2021-01-06,144.447,150.631,144.11,148.734,4937000,0.0,0.0
2021-01-07,149.08,150.348,148.478,149.318,4144100,0.0,0.0
2021-01-08,149.345,151.634,148.706,150.54,4971200,0.0,0.0
2021-01-11,150.412,152.683,149.856,151.698,3005200,0.0,0.0
2021-01-12,151.671,155.273,150.64,154.133,4036900,0.0,0.0
2021-01-13,155.173,156.596,154.343,154.9,3291800,0.0,0.0
2021-01-14,155.374,157.408,155.027,155.41,4090900,0.0,0.0
2021-01-15,153.677,156.888,153.23,156.277,3727200,0.0,0.0
2021-01-19,158.254,159.087,156.185,156.295,4683100,0.6,0.0
2021-01-20,156.734,159.306,155.279,157.787,3899800,0.0,0.0
2021-01-21,158.885,160.24,157.668,157.741,5322600,0.0,0.0
2021-01-22,157.329,159.37,156.542,157.796,3612300,0.0,0.0
2021-01-25,158.263,160.313,156.917,159.352,4764100,0.0,0.0
2021-01-26,159.526,160.084,158.345,158.986,2496200,0.0,0.0
2021-01-27,156.551,157.302,152.89,153.503,4762700,0.0,0.0
2021-01-28,154.583,159.013,153.549,157.741,3816600,0.0,0.0
2021-01-29,157.018,157.247,152.396,152.716,4400500,0.0,0.0
2021-02-01,152.963,153.943,148.405,149.531,3898500,0.0,0.0
2021-02-02,149.998,153.577,149.595,152.542,3181900,0.0,0.0
2021-02-03,152.176,155.801,152.039,155.49,2996500,0.0,0.0
2021-02-04,156.085,158.473,155.426,158.373,2679800,0.0,0.0
2021-02-05,159.883,160.359,158.519,160.203,2562700,0.0,0.0
2021-02-08,161.073,164.029,160.643,163.993,3421800,0.0,0.0
2021-02-09,163.682,164.258,162.354,162.72,2723800,0.0,0.0
2021-02-10,163.837,163.837,160.304,162.226,2837900,0.0,0.0
2021-02-11,161.997,162.592,160.066,160.844,2783900,0.0,0.0
2021-02-12,160.881,162.62,160.551,162.153,2035500,0.0,0.0
2021-02-16,161.338,162.281,159.197,159.316,2947700,0.0,0.0
2021-02-17,159.123,162.437,158.803,162.125,2244100,0.0,0.0
2021-02-18,161.055,162.968,160.496,162.153,2758700,0.0,0.0
2021-02-19,162.473,163.929,161.805,162.501,2842000,0.0,0.0
2021-02-22,161.293,161.54,157.613,157.805,3767700,0.0,0.0
2021-02-23,156.286,156.432,151.023,154.309,5149500,0.0,0.0
2021-02-24,154.373,155.242,146.547,148.561,9972300,0.0,0.0
2021-02-25,149.641,149.65,144.57,145.092,6639300,0.0,0.0
