Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-01-04,63.895,64.056,61.147,61.254,7660500,0.0,0.0
2021-01-05,61.55,62.552,61.228,62.141,6436800,0.0,0.0
2021-01-06,61.317,63.994,61.272,62.91,8753800,0.0,0.0
2021-01-07,62.973,63.439,62.382,62.463,8771400,0.0,0.0
2021-01-08,62.624,62.731,61.496,62.535,5158100,0.0,0.0
2021-01-11,61.577,62.526,61.335,62.481,4569000,0.0,0.0
2021-01-12,62.382,64.199,62.275,64.02,5356200,0.0,0.0
2021-01-13,63.824,63.958,62.472,63.107,7032600,0.0,0.0
2021-01-14,63.555,64.781,63.152,63.501,9712500,0.0,0.0
2021-01-15,62.937,62.955,61.72,61.944,6980800,0.0,0.0
2021-01-19,62.463,62.705,61.899,62.087,7381800,0.0,0.0
2021-01-20,62.185,62.239,61.416,61.621,4657700,0.0,0.0
2021-01-21,61.165,61.496,60.735,60.968,7366800,0.0,0.0
2021-01-22,60.619,60.968,60.082,60.494,4558100,0.0,0.0
2021-01-25,59.115,59.545,58.202,59.33,10514000,0.0,0.0
2021-01-26,61.944,63.492,60.144,60.153,13322200,0.0,0.0
2021-01-27,59.572,60.655,58.408,58.632,12377000,0.0,0.0
2021-01-28,59.473,62.024,59.267,61.022,8753200,0.0,0.0
2021-01-29,60.073,60.476,59.178,59.733,15649100,0.0,0.0
2021-02-01,60.511,60.511,59.196,59.939,5994000,0.0,0.0
2021-02-02,60.574,63.036,60.467,62.785,8710600,0.0,0.0
2021-02-03,62.445,63.483,62.096,63.179,8370000,0.0,0.0
2021-02-04,63.618,65.175,63.313,65.059,9024300,0.0,0.0
2021-02-05,65.659,66.133,64.45,64.746,7952700,0.0,0.0
2021-02-08,64.701,65.059,64.28,64.889,4964300,0.0,0.0
2021-02-09,64.674,65.65,64.065,65.381,6263000,0.0,0.0
2021-02-10,65.13,65.471,64.575,64.871,3930200,0.0,0.0
2021-02-11,64.871,65.515,63.707,64.746,4535800,0.0,0.0
2021-02-12,64.531,65.184,64.289,64.996,4207500,0.0,0.0
2021-02-16,65.202,65.569,64.486,64.996,6110200,0.0,0.0
2021-02-17,64.71,65.533,64.522,65.399,5186900,0.0,0.0
2021-02-18,64.871,65.39,64.468,65.238,4903800,0.0,0.0
2021-02-19,65.685,66.518,65.435,66.473,6275900,0.0,0.0
2021-02-22,64.674,66.473,64.647,65.345,10506900,0.0,0.0
2021-02-23,65.712,66.249,64.925,66.231,11686700,0.0,0.0
2021-02-24,66.41,69.973,65.811,69.526,11159300,0.0,0.0
2021-02-25,69.044,69.458,65.702,66.036,9483300,0.475,0.0
2021-02-26,66.585,66.585,64.838,64.838,8000700,0.0,0.0
